head_entity_id,tail_entity_id,relation
E0046429,E0049920,Head가 Tail의 가족임. (Family)
E0047742,E0046429,Head가 Tail의 가족임. (Family)
E0047742,E0042279,Head가 Tail에게 지시함. (Commands)
E0047742,E0038407,Head가 Tail의 가족임. (Family)
E0047742,E0049920,Head가 Tail의 가족임. (Family)
E0042279,E0046429,Head가 Tail에게 지시함. (Commands)
E0042279,E0038407,Head가 Tail에게 지시함. (Commands)
E0042279,E0049920,Head가 Tail에게 지시함. (Commands)
E0038407,E0042279,Head가 Tail을 믿음. (Trusts)
E0049920,E0046429,Head가 Tail의 가족임. (Family)
E0049920,E0047742,Head가 Tail을 위로함. (Comforts)
E0041546,E0049920,Head가 Tail을 도와줌. (Helps)
E0041546,E0063962,Head가 Tail의 가족임. (Family)
E0049920,E0041546,Head가 Tail의 가족임. (Family)
E0049920,E0063962,Head가 Tail의 가족임. (Family)
E0049920,E0033874,Head가 Tail에게 지시함. (Commands)
E0049920,E0048240,Head가 Tail에게 지시함. (Commands)
E0049920,E0044426,Head가 Tail에게 지시함. (Commands)
E0033874,E0049920,Head가 Tail에게 지시함. (Commands)
E0033874,E0048240,Head가 Tail에게 지시함. (Commands)
E0033874,E0044426,Head가 Tail에게 지시함. (Commands)
E0048240,E0049920,Head가 Tail에게 지시함. (Commands)
E0048240,E0033874,Head가 Tail에게 지시함. (Commands)
E0048240,E0044426,Head가 Tail에게 지시함. (Commands)
E0044426,E0049920,Head가 Tail에게 지시함. (Commands)
E0044426,E0033874,Head가 Tail에게 지시함. (Commands)
E0044426,E0048240,Head가 Tail에게 지시함. (Commands)
E0041546,E0063081,Head가 Tail에게 지시함. (Commands)
E0041546,E0046098,Head가 Tail에게 지시함. (Commands)
E0063081,E0041546,Head가 Tail에게 지시함. (Commands)
E0063081,E0046098,Head가 Tail에게 지시함. (Commands)
E0046098,E0041546,Head가 Tail에게 지시함. (Commands)
E0046098,E0063081,Head가 Tail에게 지시함. (Commands)
E0009697,E0050862,Head가 Tail에게 지시함. (Commands)
E0009697,E0005335,Head가 Tail에게 지시함. (Commands)
E0050862,E0009697,Head가 Tail에게 지시함. (Commands)
E0050862,E0005335,Head가 Tail에게 지시함. (Commands)
E0005335,E0009697,Head가 Tail에게 지시함. (Commands)
E0005335,E0050862,Head가 Tail에게 지시함. (Commands)
E0047742,E0075884,Head가 Tail을 믿음. (Trusts)
E0005335,E0052520,Head가 Tail에게 지시함. (Commands)
E0052520,E0005335,Head가 Tail을 믿음. (Trusts)
E0075884,E0047742,Head가 Tail에게 지시함. (Commands)
E0041546,E0046374,Head가 Tail에게 도움을 요청함. (Asks for help)
E0041546,E0049969,Head가 Tail에 대해 반발함. (Rebels against)
E0041546,E0050467,Head가 Tail에게 도움을 요청함. (Asks for help)
E0042299,E0050662,Head가 Tail을 도와줌. (Helps)
E0042299,E0063956,Head가 Tail을 도와줌. (Helps)
E0050662,E0046374,Head가 Tail에게 지시함. (Commands)
E0011084,E0042299,Head가 Tail을 공격함. (Attacks)
E0011084,E0046374,Head가 Tail에게 도움을 요청함. (Asks for help)
E0011084,E0063956,Head가 Tail을 무시함. (Ignores)
E0011084,E0025107,Head가 Tail을 공격함. (Attacks)
E0011084,E0009611,Head가 Tail을 공격함. (Attacks)
E0063956,E0046374,Head가 Tail에게 도움을 요청함. (Asks for help)
E0025107,E0041546,Head가 Tail을 믿음. (Trusts)
E0041546,E0035646,Head가 Tail에게 도움을 요청함. (Asks for help)
E0041546,E0008113,Head가 Tail을 고발함. (Accuses)
E0041546,E0041670,Head가 Tail에게 도움을 요청함. (Asks for help)
E0041546,E0041670,Head가 Tail을 고발함. (Accuses)
E0041546,E0042431,Head가 Tail에게 지시함. (Commands)
E0041546,E0045857,Head가 Tail에게 지시함. (Commands)
E0041546,E0003820,Head가 Tail에게 지시함. (Commands)
E0041546,E0044596,Head가 Tail을 고발함. (Accuses)
E0044017,E0041546,Head가 Tail에게 지시함. (Commands)
E0044017,E0050662,Head가 Tail을 도와줌. (Helps)
E0044017,E0008113,Head가 Tail을 고발함. (Accuses)
E0044017,E0041670,Head가 Tail에게 도움을 요청함. (Asks for help)
E0044017,E0041670,Head가 Tail을 고발함. (Accuses)
E0044017,E0042431,Head가 Tail에게 지시함. (Commands)
E0044017,E0008897,Head가 Tail에게 지시함. (Commands)
E0044017,E0045857,Head가 Tail에게 지시함. (Commands)
E0044017,E0003820,Head가 Tail에게 지시함. (Commands)
E0044017,E0044596,Head가 Tail에게 지시함. (Commands)
E0050662,E0035646,Head가 Tail을 무시함. (Ignores)
E0035646,E0041546,Head가 Tail에게 도움을 요청함. (Asks for help)
E0035646,E0044017,Head가 Tail에게 도움을 요청함. (Asks for help)
E0035646,E0050662,Head가 Tail에게 도움을 요청함. (Asks for help)
E0035646,E0042431,Head가 Tail에게 도움을 요청함. (Asks for help)
E0035646,E0008897,Head가 Tail에게 도움을 요청함. (Asks for help)
E0035646,E0045857,Head가 Tail에게 도움을 요청함. (Asks for help)
E0035646,E0003820,Head가 Tail에게 도움을 요청함. (Asks for help)
E0035646,E0044596,Head가 Tail에게 도움을 요청함. (Asks for help)
E0008113,E0041546,Head가 Tail을 고발함. (Accuses)
E0008113,E0044017,Head가 Tail을 고발함. (Accuses)
E0008113,E0050662,Head가 Tail에게 도움을 요청함. (Asks for help)
E0008113,E0042431,Head가 Tail에게 도움을 요청함. (Asks for help)
E0008113,E0045857,Head가 Tail에게 도움을 요청함. (Asks for help)
E0008113,E0045857,Head가 Tail을 고발함. (Accuses)
E0008113,E0003820,Head가 Tail에게 도움을 요청함. (Asks for help)
E0008113,E0044596,Head가 Tail에게 도움을 요청함. (Asks for help)
E0041670,E0041546,Head가 Tail에게 도움을 요청함. (Asks for help)
E0041670,E0044017,Head가 Tail에게 도움을 요청함. (Asks for help)
E0041670,E0050662,Head가 Tail에게 도움을 요청함. (Asks for help)
E0041670,E0042431,Head가 Tail에게 도움을 요청함. (Asks for help)
E0041670,E0008897,Head가 Tail에게 도움을 요청함. (Asks for help)
E0041670,E0045857,Head가 Tail에게 도움을 요청함. (Asks for help)
E0041670,E0003820,Head가 Tail에게 도움을 요청함. (Asks for help)
E0041670,E0044596,Head가 Tail에게 도움을 요청함. (Asks for help)
E0042431,E0041546,Head가 Tail에게 지시함. (Commands)
E0042431,E0035646,Head가 Tail에게 도움을 요청함. (Asks for help)
E0042431,E0041670,Head가 Tail에게 도움을 요청함. (Asks for help)
E0042431,E0008897,Head가 Tail에게 지시함. (Commands)
E0042431,E0045857,Head가 Tail에게 지시함. (Commands)
E0042431,E0003820,Head가 Tail에게 지시함. (Commands)
E0042431,E0044596,Head가 Tail에게 지시함. (Commands)
E0008897,E0041546,Head가 Tail에게 지시함. (Commands)
E0008897,E0044017,Head가 Tail에게 지시함. (Commands)
E0008897,E0035646,Head가 Tail에게 도움을 요청함. (Asks for help)
E0008897,E0008113,Head가 Tail에게 지시함. (Commands)
E0008897,E0041670,Head가 Tail에게 도움을 요청함. (Asks for help)
E0008897,E0042431,Head가 Tail에게 지시함. (Commands)
E0008897,E0045857,Head가 Tail에게 지시함. (Commands)
E0008897,E0003820,Head가 Tail에게 지시함. (Commands)
E0045857,E0041546,Head가 Tail에게 지시함. (Commands)
E0045857,E0044017,Head가 Tail에게 지시함. (Commands)
E0045857,E0050662,Head가 Tail을 도와줌. (Helps)
E0045857,E0035646,Head가 Tail에게 도움을 요청함. (Asks for help)
E0045857,E0008113,Head가 Tail에게 지시함. (Commands)
E0045857,E0041670,Head가 Tail에게 도움을 요청함. (Asks for help)
E0045857,E0042431,Head가 Tail에게 지시함. (Commands)
E0045857,E0008897,Head가 Tail에게 지시함. (Commands)
E0045857,E0003820,Head가 Tail에게 지시함. (Commands)
E0045857,E0044596,Head가 Tail에게 지시함. (Commands)
E0003820,E0041546,Head가 Tail에게 지시함. (Commands)
E0003820,E0050662,Head가 Tail을 도와줌. (Helps)
E0003820,E0035646,Head가 Tail에게 도움을 요청함. (Asks for help)
E0003820,E0041670,Head가 Tail에게 도움을 요청함. (Asks for help)
E0003820,E0042431,Head가 Tail에게 지시함. (Commands)
E0003820,E0008897,Head가 Tail에게 지시함. (Commands)
E0003820,E0045857,Head가 Tail에게 지시함. (Commands)
E0003820,E0044596,Head가 Tail에게 지시함. (Commands)
E0044596,E0041546,Head가 Tail에게 지시함. (Commands)
E0044596,E0044017,Head가 Tail에게 지시함. (Commands)
E0044596,E0035646,Head가 Tail에게 도움을 요청함. (Asks for help)
E0044596,E0008113,Head가 Tail에게 지시함. (Commands)
E0044596,E0041670,Head가 Tail에게 도움을 요청함. (Asks for help)
E0044596,E0042431,Head가 Tail에게 지시함. (Commands)
E0044596,E0008897,Head가 Tail에게 지시함. (Commands)
E0044596,E0045857,Head가 Tail에게 지시함. (Commands)
E0044596,E0003820,Head가 Tail에게 지시함. (Commands)
E0041546,E0051045,Head가 Tail에게 지시함. (Commands)
E0041546,E0065060,Head가 Tail에게 지시함. (Commands)
E0041546,E0042645,Head가 Tail에게 지시함. (Commands)
E0041546,E0012906,Head가 Tail에게 지시함. (Commands)
E0051045,E0041546,Head가 Tail에게 지시함. (Commands)
E0051045,E0065060,Head가 Tail에게 지시함. (Commands)
E0051045,E0042645,Head가 Tail에게 지시함. (Commands)
E0051045,E0012906,Head가 Tail에게 지시함. (Commands)
E0065060,E0041546,Head가 Tail에게 지시함. (Commands)
E0065060,E0051045,Head가 Tail에게 지시함. (Commands)
E0065060,E0042645,Head가 Tail에게 지시함. (Commands)
E0065060,E0012906,Head가 Tail에게 지시함. (Commands)
E0042645,E0041546,Head가 Tail에게 지시함. (Commands)
E0042645,E0051045,Head가 Tail에게 지시함. (Commands)
E0042645,E0065060,Head가 Tail에게 지시함. (Commands)
E0042645,E0012906,Head가 Tail에게 지시함. (Commands)
E0012906,E0041546,Head가 Tail에게 지시함. (Commands)
E0012906,E0051045,Head가 Tail에게 지시함. (Commands)
E0012906,E0065060,Head가 Tail에게 지시함. (Commands)
E0012906,E0042645,Head가 Tail에게 지시함. (Commands)
E0042299,E0003820,Head가 Tail에게 지시함. (Commands)
E0042299,E0049982,Head가 Tail에게 지시함. (Commands)
E0003820,E0042299,Head가 Tail에게 지시함. (Commands)
E0003820,E0049982,Head가 Tail에게 지시함. (Commands)
E0049982,E0042299,Head가 Tail에게 지시함. (Commands)
E0049982,E0003820,Head가 Tail에게 지시함. (Commands)
E0041546,E0042299,Head가 Tail에게 지시함. (Commands)
E0041546,E0003820,Head가 Tail에게 지시함. (Commands)
E0042299,E0041546,Head가 Tail에게 지시함. (Commands)
E0042299,E0003820,Head가 Tail에게 지시함. (Commands)
E0003820,E0041546,Head가 Tail에게 지시함. (Commands)
E0003820,E0042299,Head가 Tail에게 지시함. (Commands)
E0044017,E0050662,Head가 Tail에게 지시함. (Commands)
E0044017,E0042616,Head가 Tail에게 지시함. (Commands)
E0044017,E0064440,Head가 Tail에게 지시함. (Commands)
E0050662,E0044017,Head가 Tail에게 지시함. (Commands)
E0050662,E0042616,Head가 Tail에게 지시함. (Commands)
E0050662,E0064440,Head가 Tail에게 지시함. (Commands)
E0042616,E0044017,Head가 Tail에게 지시함. (Commands)
E0042616,E0050662,Head가 Tail에게 지시함. (Commands)
E0042616,E0064440,Head가 Tail에게 지시함. (Commands)
E0064440,E0044017,Head가 Tail에게 지시함. (Commands)
E0064440,E0050662,Head가 Tail에게 지시함. (Commands)
E0064440,E0042616,Head가 Tail에게 지시함. (Commands)
E0044017,E0003820,Head가 Tail에게 지시함. (Commands)
E0044017,E0021898,Head가 Tail에게 지시함. (Commands)
E0003820,E0044017,Head가 Tail에게 지시함. (Commands)
E0003820,E0021898,Head가 Tail에게 지시함. (Commands)
E0021898,E0044017,Head가 Tail에게 지시함. (Commands)
E0021898,E0003820,Head가 Tail에게 지시함. (Commands)
E0041546,E0051045,Tail이 Head를 죽임. (Killed by)
E0041546,E0044017,Tail이 Head를 죽임. (Killed by)
E0041546,E0012906,Tail이 Head를 죽임. (Killed by)
E0041546,E0041677,Head가 Tail을 공격함. (Attacks)
E0041546,E0045644,Tail이 Head를 죽임. (Killed by)
E0051045,E0041546,Tail이 Head를 죽임. (Killed by)
E0051045,E0044017,Tail이 Head를 죽임. (Killed by)
E0051045,E0012906,Tail이 Head를 죽임. (Killed by)
E0051045,E0041677,Head가 Tail을 공격함. (Attacks)
E0051045,E0045644,Tail이 Head를 죽임. (Killed by)
E0044017,E0051045,Tail이 Head를 죽임. (Killed by)
E0044017,E0012906,Tail이 Head를 죽임. (Killed by)
E0044017,E0041677,Head가 Tail을 공격함. (Attacks)
E0044017,E0009543,Tail이 Head를 죽임. (Killed by)
E0012906,E0041546,Tail이 Head를 죽임. (Killed by)
E0012906,E0051045,Tail이 Head를 죽임. (Killed by)
E0012906,E0044017,Tail이 Head를 죽임. (Killed by)
E0012906,E0041677,Tail이 Head를 죽임. (Killed by)
E0012906,E0041677,Head가 Tail을 공격함. (Attacks)
E0012906,E0045644,Tail이 Head를 죽임. (Killed by)
E0041677,E0041546,Head가 Tail을 공격함. (Attacks)
E0041677,E0051045,Tail이 Head를 죽임. (Killed by)
E0041677,E0044017,Head가 Tail을 공격함. (Attacks)
E0041677,E0012906,Tail이 Head를 죽임. (Killed by)
E0041677,E0045644,Head가 Tail을 공격함. (Attacks)
E0041677,E0009543,Head가 Tail을 공격함. (Attacks)
E0045644,E0051045,Tail이 Head를 죽임. (Killed by)
E0045644,E0044017,Tail이 Head를 죽임. (Killed by)
E0045644,E0012906,Tail이 Head를 죽임. (Killed by)
E0045644,E0041677,Head가 Tail을 공격함. (Attacks)
E0009543,E0051045,Head가 Tail을 무시함. (Ignores)
E0009543,E0044017,Tail이 Head를 죽임. (Killed by)
E0009543,E0012906,Head가 Tail을 무시함. (Ignores)
E0009543,E0041677,Head가 Tail을 공격함. (Attacks)
E0012906,E0041546,Head가 Tail에게 지시함. (Commands)
E0012906,E0075896,Head가 Tail에게 지시함. (Commands)
E0012906,E0041673,Head가 Tail에게 지시함. (Commands)
E0012906,E0046472,Head가 Tail에게 지시함. (Commands)
E0075896,E0041546,Head가 Tail에게 지시함. (Commands)
E0075896,E0012906,Head가 Tail에게 지시함. (Commands)
E0075896,E0041673,Head가 Tail에게 지시함. (Commands)
E0075896,E0046472,Head가 Tail에게 지시함. (Commands)
E0041673,E0041546,Head가 Tail에게 지시함. (Commands)
E0041673,E0012906,Head가 Tail에게 지시함. (Commands)
E0041673,E0075896,Head가 Tail에게 지시함. (Commands)
E0041673,E0046472,Head가 Tail에게 지시함. (Commands)
E0046472,E0041546,Head가 Tail에게 지시함. (Commands)
E0046472,E0012906,Head가 Tail에게 지시함. (Commands)
E0046472,E0075896,Head가 Tail에게 지시함. (Commands)
E0046472,E0041673,Head가 Tail에게 지시함. (Commands)
E0042299,E0041673,Head가 Tail을 도와줌. (Helps)
E0042299,E0028912,Head가 Tail을 처벌시킴. (Punishes)
E0012906,E0042299,Head가 Tail을 도와줌. (Helps)
E0012906,E0041673,Head가 Tail을 도와줌. (Helps)
E0012906,E0028912,Head가 Tail을 무시함. (Ignores)
E0041673,E0042299,Head가 Tail을 도와줌. (Helps)
E0041673,E0012906,Head가 Tail을 도와줌. (Helps)
E0041673,E0057519,Head가 Tail을 도와줌. (Helps)
E0041673,E0028912,Head가 Tail을 도와줌. (Helps)
E0041673,E0028912,Head가 Tail에게 지시함. (Commands)
E0057519,E0042299,Head가 Tail을 고발함. (Accuses)
E0057519,E0012906,Head가 Tail을 고발함. (Accuses)
E0028912,E0042299,Head가 Tail을 무시함. (Ignores)
E0028912,E0012906,Head가 Tail을 무시함. (Ignores)
E0028912,E0041673,Head가 Tail을 도와줌. (Helps)
E0028912,E0057519,Head가 Tail을 무시함. (Ignores)
E0045372,E0042431,Head가 Tail의 스승임 (Mentor)
E0045372,E0041673,Head가 Tail에게 지시함. (Commands)
E0041673,E0045372,Head가 Tail에게 지시함. (Commands)
E0041677,E0009543,Head가 Tail에게 지시함. (Commands)
E0041677,E0032268,Head가 Tail에게 지시함. (Commands)
E0009543,E0041677,Head가 Tail에게 지시함. (Commands)
E0009543,E0032268,Head가 Tail에게 지시함. (Commands)
E0032268,E0041677,Head가 Tail에게 지시함. (Commands)
E0032268,E0009543,Head가 Tail에게 지시함. (Commands)
E0041677,E0044017,Head가 Tail을 믿음. (Trusts)
E0041738,E0044017,Head가 Tail을 공격함. (Attacks)
E0041738,E0009681,Head가 Tail을 공격함. (Attacks)
E0009681,E0044017,Head가 Tail을 믿음. (Trusts)
E0009681,E0041677,Head가 Tail을 믿음. (Trusts)
E0042431,E0012097,Head가 Tail을 도와줌. (Helps)
E0042431,E0011311,Head가 Tail에게 보고함 (Reports to)
E0041677,E0012097,Head가 Tail에게 지시함. (Commands)
E0041677,E0011311,Head가 Tail에게 보고함 (Reports to)
E0041677,E0041423,Head가 Tail을 공격함. (Attacks)
E0012097,E0042431,Head가 Tail에게 지시함. (Commands)
E0012097,E0041677,Head가 Tail에게 지시함. (Commands)
E0012097,E0011311,Head가 Tail에게 지시함. (Commands)
E0012097,E0041423,Head가 Tail에게 지시함. (Commands)
E0011311,E0042431,Head가 Tail에게 지시함. (Commands)
E0011311,E0041677,Head가 Tail에게 지시함. (Commands)
E0011311,E0012097,Head가 Tail에게 지시함. (Commands)
E0011311,E0041423,Head가 Tail에게 지시함. (Commands)
E0041423,E0042431,Head가 Tail을 공격함. (Attacks)
E0041423,E0012097,Head가 Tail에게 지시함. (Commands)
E0041423,E0011311,Head가 Tail에게 보고함 (Reports to)
E0050581,E0008897,Head가 Tail을 비난함. (Blames)
E0050581,E0046202,Head가 Tail에게 지시함. (Commands)
E0050581,E0049907,Head가 Tail에게 보고함 (Reports to)
E0050581,E0045546,Head가 Tail에게 지시함. (Commands)
E0046202,E0050581,Head가 Tail에게 보고함 (Reports to)
E0046202,E0008897,Head가 Tail을 비난함. (Blames)
E0046202,E0049907,Head가 Tail에게 보고함 (Reports to)
E0046202,E0045546,Head가 Tail에게 지시함. (Commands)
E0057471,E0008897,Head가 Tail을 비난함. (Blames)
E0049907,E0050581,Head가 Tail에게 지시함. (Commands)
E0049907,E0008897,Head가 Tail을 비난함. (Blames)
E0049907,E0046202,Head가 Tail에게 지시함. (Commands)
E0049907,E0045546,Head가 Tail에게 지시함. (Commands)
E0045546,E0050581,Head가 Tail에게 보고함 (Reports to)
E0045546,E0008897,Head가 Tail을 비난함. (Blames)
E0045546,E0049907,Head가 Tail에게 지시함. (Commands)
E0050662,E0044806,Head가 Tail에게 지시함. (Commands)
E0057471,E0053040,Head가 Tail을 고발함. (Accuses)
E0044806,E0050662,Head가 Tail에게 지시함. (Commands)
E0044806,E0057471,Head가 Tail에게 지시함. (Commands)
E0044806,E0051662,Head가 Tail에게 지시함. (Commands)
E0044806,E0053040,Head가 Tail에게 지시함. (Commands)
E0053040,E0044806,Head가 Tail에게 지시함. (Commands)
E0053040,E0051662,Head가 Tail을 믿음. (Trusts)
E0011311,E0030890,Head가 Tail을 의심함. (Distrusts)
E0030890,E0011311,Head가 Tail을 의심함. (Distrusts)
E0044327,E0030890,Head가 Tail을 의심함. (Distrusts)
E0028820,E0050998,Head가 Tail을 도와줌. (Helps)
E0008897,E0028820,Head가 Tail을 고발함. (Accuses)
E0028820,E0008897,Head가 Tail을 고발함. (Accuses)
E0050662,E0025107,Head가 Tail을 공격함. (Attacks)
E0050662,E0050998,Head가 Tail을 공격함. (Attacks)
E0025107,E0050662,Head가 Tail을 공격함. (Attacks)
E0025107,E0050998,Head가 Tail을 공격함. (Attacks)
E0050998,E0050662,Head가 Tail에게 지시함. (Commands)
E0050998,E0025107,Head가 Tail에게 지시함. (Commands)
E0050998,E0045802,Head가 Tail에게 지시함. (Commands)
E0045802,E0050998,Head가 Tail에게 지시함. (Commands)
E0003820,E0032268,Head가 Tail에게 보고함 (Reports to)
E0003820,E0050998,Head가 Tail에게 보고함 (Reports to)
E0003820,E0031837,Head가 Tail에게 지시함. (Commands)
E0032268,E0045802,Head가 Tail에게 지시함. (Commands)
E0032268,E0031837,Head가 Tail에게 지시함. (Commands)
E0050998,E0003820,Head가 Tail에게 지시함. (Commands)
E0050998,E0032268,Head가 Tail에게 보고함 (Reports to)
E0050998,E0045802,Head가 Tail에게 지시함. (Commands)
E0050998,E0031837,Head가 Tail에게 지시함. (Commands)
E0045802,E0003820,Head가 Tail에게 지시함. (Commands)
E0045802,E0032268,Head가 Tail에게 지시함. (Commands)
E0045802,E0050998,Head가 Tail에게 지시함. (Commands)
E0045802,E0031837,Head가 Tail에게 지시함. (Commands)
E0031837,E0003820,Head가 Tail에게 지시함. (Commands)
E0031837,E0032268,Head가 Tail에게 지시함. (Commands)
E0031837,E0050998,Head가 Tail에게 지시함. (Commands)
E0031837,E0045802,Head가 Tail에게 지시함. (Commands)
E0003820,E0031837,Head가 Tail을 의심함. (Distrusts)
E0031837,E0003820,Head가 Tail을 의심함. (Distrusts)
E0031837,E0022459,Head가 Tail을 의심함. (Distrusts)
E0022459,E0003820,Head가 Tail에게 지시함. (Commands)
E0022459,E0031837,Head가 Tail을 의심함. (Distrusts)
E0045372,E0020681,Head가 Tail을 공격함. (Attacks)
E0045372,E0020681,Head가 Tail에게 지시함. (Commands)
E0020681,E0045372,Head가 Tail에게 지시함. (Commands)
E0003820,E0032901,Head가 Tail에게 지시함. (Commands)
E0032901,E0003820,Head가 Tail에게 지시함. (Commands)
E0020681,E0043895,Head가 Tail에게 지시함. (Commands)
E0043895,E0020681,Head가 Tail에게 지시함. (Commands)
E0003820,E0044975,Head가 Tail에게 지시함. (Commands)
E0003820,E0046041,Head가 Tail에게 지시함. (Commands)
E0044975,E0003820,Head가 Tail에게 지시함. (Commands)
E0044975,E0046041,Head가 Tail에게 지시함. (Commands)
E0046041,E0003820,Head가 Tail에게 지시함. (Commands)
E0046041,E0044975,Head가 Tail에게 지시함. (Commands)
E0003820,E0042802,Head가 Tail을 믿음. (Trusts)
E0042802,E0003820,Head가 Tail을 믿음. (Trusts)
E0049982,E0064255,Head가 Tail에게 지시함. (Commands)
E0064255,E0049982,Head가 Tail에게 지시함. (Commands)
E0044975,E0044986,Head가 Tail에게 지시함. (Commands)
E0044975,E0022950,Head가 Tail에게 지시함. (Commands)
E0044975,E0061971,Head가 Tail에게 지시함. (Commands)
E0072059,E0044975,Head가 Tail에게 지시함. (Commands)
E0072059,E0044986,Head가 Tail에게 지시함. (Commands)
E0072059,E0022950,Head가 Tail에게 지시함. (Commands)
E0072059,E0061971,Head가 Tail에게 지시함. (Commands)
E0044986,E0044975,Head가 Tail에게 지시함. (Commands)
E0044986,E0072059,Head가 Tail에게 지시함. (Commands)
E0044986,E0022950,Head가 Tail에게 지시함. (Commands)
E0044986,E0061971,Head가 Tail에게 지시함. (Commands)
E0022950,E0044975,Head가 Tail에게 지시함. (Commands)
E0022950,E0072059,Head가 Tail에게 지시함. (Commands)
E0022950,E0044986,Head가 Tail에게 지시함. (Commands)
E0022950,E0061971,Head가 Tail에게 지시함. (Commands)
E0061971,E0044975,Head가 Tail에게 지시함. (Commands)
E0061971,E0044986,Head가 Tail에게 지시함. (Commands)
E0061971,E0022950,Head가 Tail에게 지시함. (Commands)
E0063956,E0009681,Head가 Tail을 칭찬함. (Compliments)
E0063956,E0052339,Head가 Tail에게 보고함 (Reports to)
E0009681,E0052339,Head가 Tail에게 보고함 (Reports to)
E0052339,E0063956,Head가 Tail에게 보고함 (Reports to)
E0052339,E0009681,Head가 Tail에게 보고함 (Reports to)
E0010138,E0041670,Head가 Tail에게 지시함. (Commands)
E0010138,E0064331,Head가 Tail에게 지시함. (Commands)
E0010138,E0047747,Head가 Tail에게 지시함. (Commands)
E0010138,E0047747,Head가 Tail에게 보고함 (Reports to)
E0010138,E0043471,Head가 Tail에게 지시함. (Commands)
E0010138,E0032600,Head가 Tail에게 지시함. (Commands)
E0041670,E0010138,Head가 Tail에게 지시함. (Commands)
E0041670,E0064331,Head가 Tail에게 지시함. (Commands)
E0041670,E0047747,Head가 Tail에게 지시함. (Commands)
E0041670,E0043471,Head가 Tail에게 지시함. (Commands)
E0041670,E0032600,Head가 Tail에게 지시함. (Commands)
E0064331,E0010138,Head가 Tail에게 지시함. (Commands)
E0064331,E0041670,Head가 Tail에게 지시함. (Commands)
E0064331,E0047747,Head가 Tail에게 지시함. (Commands)
E0064331,E0043471,Head가 Tail에게 지시함. (Commands)
E0064331,E0032600,Head가 Tail에게 지시함. (Commands)
E0047747,E0010138,Head가 Tail에게 지시함. (Commands)
E0047747,E0041670,Head가 Tail에게 지시함. (Commands)
E0047747,E0064331,Head가 Tail에게 지시함. (Commands)
E0047747,E0043471,Head가 Tail에게 지시함. (Commands)
E0043471,E0010138,Head가 Tail에게 지시함. (Commands)
E0043471,E0041670,Head가 Tail에게 지시함. (Commands)
E0043471,E0047747,Head가 Tail에게 지시함. (Commands)
E0043471,E0032600,Head가 Tail에게 도움을 요청함. (Asks for help)
E0032600,E0010138,Head가 Tail에게 지시함. (Commands)
E0032600,E0041670,Head가 Tail에게 지시함. (Commands)
E0032600,E0064331,Head가 Tail에게 지시함. (Commands)
E0032600,E0043471,Head가 Tail에게 지시함. (Commands)
E0065230,E0009697,Head가 Tail에게 지시함. (Commands)
E0009697,E0065230,Head가 Tail에게 지시함. (Commands)
